time,open,high,low,close,Volume
2024-05-07T10:15:00Z,18170.75,18172.75,18165.25,18168.75,1202
2024-05-07T10:30:00Z,18168.5,18175.75,18167.5,18170.75,1021
2024-05-07T10:45:00Z,18171,18183,18167.5,18181,1137
2024-05-07T11:00:00Z,18181,18185,18165.25,18169.25,2636
2024-05-07T11:15:00Z,18169.75,18170,18156.25,18160.5,2152
2024-05-07T11:30:00Z,18160.5,18167,18151,18152.5,1978
2024-05-07T11:45:00Z,18152.5,18165.25,18152.5,18165.25,1874
2024-05-07T12:00:00Z,18165,18174.25,18163.5,18171.75,2001
2024-05-07T12:15:00Z,18171.5,18175.5,18160.25,18161,1800
2024-05-07T12:30:00Z,18160.25,18182,18160,18181.25,2733
2024-05-07T12:45:00Z,18181,18196,18179,18192.25,3786
2024-05-07T13:00:00Z,18192.25,18205,18189,18195.5,5439
2024-05-07T13:15:00Z,18195.75,18213.5,18190,18210.25,6369
2024-05-07T13:30:00Z,18211.25,18236,18197.5,18219.5,32618
2024-05-07T13:45:00Z,18220,18233.25,18188,18193.25,29510
2024-05-07T14:00:00Z,18193.5,18218.75,18181.75,18215.25,21441
2024-05-07T14:15:00Z,18215,18224.25,18186,18188.5,21233
2024-05-07T14:30:00Z,18188.25,18212,18185,18204.5,15299
2024-05-07T14:45:00Z,18205.25,18251.75,18202.75,18250.25,20832
2024-05-07T15:00:00Z,18250.5,18256.5,18240.5,18249.5,13951
2024-05-07T15:15:00Z,18249.75,18263.75,18243,18245.5,15583
2024-05-07T15:30:00Z,18246,18253,18234.25,18252.25,10453
2024-05-07T15:45:00Z,18252.25,18259.5,18245.25,18252.5,8293
2024-05-07T16:00:00Z,18252.75,18263.75,18249,18252,8310
2024-05-07T16:15:00Z,18252.5,18261,18248.75,18256.25,7076
2024-05-07T16:30:00Z,18256.5,18259.25,18236,18248.25,12079
2024-05-07T16:45:00Z,18248.25,18249.25,18228.5,18240,10309
2024-05-07T17:00:00Z,18240,18252.75,18238.5,18243.25,7468
2024-05-07T17:15:00Z,18243.25,18260.75,18234.75,18255,8711
2024-05-07T17:30:00Z,18255,18266.25,18233,18238.25,10431
2024-05-07T17:45:00Z,18239,18241.75,18183.5,18193.75,20270
2024-05-07T18:00:00Z,18194.25,18213.75,18188.75,18199.25,13763
2024-05-07T18:15:00Z,18199.5,18201.25,18176,18186,13396
2024-05-07T18:30:00Z,18185.75,18193.5,18166.5,18191.25,15202
2024-05-07T18:45:00Z,18191,18196.5,18180.5,18194.25,8610
2024-05-07T19:00:00Z,18194.5,18207,18186,18202.25,9009
2024-05-07T19:15:00Z,18202.5,18208,18180.75,18200.25,9563
2024-05-07T19:30:00Z,18200.25,18204.75,18187.5,18190,9663
2024-05-07T19:45:00Z,18190,18220.75,18190,18196.5,26326
2024-05-07T20:00:00Z,18196.5,18215.5,18193.25,18214.5,7622
2024-05-07T20:15:00Z,18214.25,18215,18206.25,18207.25,1220
2024-05-07T20:30:00Z,18207.75,18207.75,18203.5,18205.25,777
2024-05-07T20:45:00Z,18205.25,18205.75,18194.75,18197.75,1158
2024-05-07T22:00:00Z,18194,18195.75,18181,18188.75,1717
2024-05-07T22:15:00Z,18188.5,18197,18188,18195.25,579
2024-05-07T22:30:00Z,18196,18203.5,18195,18198.5,599
2024-05-07T22:45:00Z,18199,18204.25,18198.25,18203.5,547
2024-05-07T23:00:00Z,18203.5,18208.5,18200,18206,632
2024-05-07T23:15:00Z,18206.25,18208.5,18201,18203,386
2024-05-07T23:30:00Z,18202.75,18205.5,18196.5,18204.25,659
2024-05-07T23:45:00Z,18203.75,18208,18202,18204.5,284
2024-05-08T00:00:00Z,18204.5,18212.25,18200.75,18209,975
2024-05-08T00:15:00Z,18208,18211.5,18206.25,18208,501
2024-05-08T00:30:00Z,18208.25,18210.5,18203.75,18204.5,475
2024-05-08T00:45:00Z,18204.75,18210.25,18203.5,18208.5,348
2024-05-08T01:00:00Z,18208.5,18211.75,18205.75,18210.25,403
2024-05-08T01:15:00Z,18211.25,18215.5,18205.5,18208,836
2024-05-08T01:30:00Z,18207.5,18211,18205.5,18209.5,534
2024-05-08T01:45:00Z,18209.75,18210,18202.75,18204,536
2024-05-08T02:00:00Z,18204.25,18209,18202.5,18206,534
2024-05-08T02:15:00Z,18206.25,18206.25,18201,18204,587
2024-05-08T02:30:00Z,18203.75,18205.75,18194.75,18199,793
2024-05-08T02:45:00Z,18199.25,18202,18195.5,18201.5,684
2024-05-08T03:00:00Z,18201.25,18203.25,18198.5,18199.5,324
2024-05-08T03:15:00Z,18200,18202,18194,18196,432
2024-05-08T03:30:00Z,18196,18203,18193.5,18202,630
2024-05-08T03:45:00Z,18201.75,18202.5,18192.25,18194.5,551
2024-05-08T04:00:00Z,18194,18196.75,18193.25,18195,254
2024-05-08T04:15:00Z,18195,18195.75,18191.5,18192,320
2024-05-08T04:30:00Z,18192.5,18192.75,18185.5,18190,770
2024-05-08T04:45:00Z,18190,18190.75,18185.75,18186,403
2024-05-08T05:00:00Z,18186,18189.75,18182.75,18184.25,775
2024-05-08T05:15:00Z,18183.75,18186,18181,18184,594
2024-05-08T05:30:00Z,18183.75,18191.25,18183.5,18189.5,541
2024-05-08T05:45:00Z,18189.5,18196.5,18188,18194.25,509
2024-05-08T06:00:00Z,18194.75,18200.75,18192.25,18195.25,806
2024-05-08T06:15:00Z,18194.75,18195.75,18185,18193,796
2024-05-08T06:30:00Z,18193.5,18203,18191,18200.75,839
2024-05-08T06:45:00Z,18199.75,18201.75,18194.75,18197,695
2024-05-08T07:00:00Z,18197,18210.25,18195,18205.75,2153
2024-05-08T07:15:00Z,18206.5,18213.5,18203.5,18207.5,1345
2024-05-08T07:30:00Z,18208,18211.75,18204,18207.75,811
